horizon,timestep,n_hidden,mae,mse,mape
24,10,32,60.9673621177,6997.14340047,194.137059836
3,10,64,26.5585722256,1879.1589427,52.9448152226
6,10,64,42.7741548585,3692.57639861,128.826942586
12,10,64,53.4789209175,5730.34676961,154.658349075
24,10,64,61.8745378875,7254.48346008,201.141561439
3,10,128,39.0435305976,2959.6479136,92.9592493435
6,10,128,47.4820941303,4839.23396565,98.5859425873
12,10,128,52.8515211061,5831.45825128,153.893725854
24,10,128,64.0290675014,8061.07949267,196.544239307
3,10,256,68.3013033262,11854.1340628,192.666750496
6,10,256,92.5699090363,19261.2123323,309.759871305
12,10,256,92.7886787355,16736.0149364,153.046025223
24,10,256,68.3285946392,10092.890839,176.205563327
3,15,16,26.9581388313,1777.53486963,69.5080561763
6,15,16,41.2731177716,3641.62621165,114.261421073
12,15,16,52.9006948373,5444.15627054,167.863815526
24,15,16,60.6369399898,7083.23984811,192.388598128
3,15,32,29.4184901578,1889.75285301,80.5686379358
6,15,32,40.2540696558,3517.71396103,113.026288183
12,15,32,53.8639471584,5527.35727208,176.645752811
24,15,32,63.4522581817,7491.33394485,208.219877408
3,15,64,27.4929607279,1858.30641891,53.6176033336
6,15,64,41.5941402481,3671.30326066,113.225995197
12,15,64,54.3979448963,5651.88061249,175.622051979
24,15,64,62.9927606652,7221.1128868,218.15949304
3,15,128,36.3896513557,2859.76503851,87.5385084468
6,15,128,163.113689414,36130.7760229,314.028471577
12,15,128,60.3955619472,7371.66939472,108.494513316
24,15,128,95.7189277367,12152.8169817,382.680905198
3,15,256,133.588599848,47744.7053335,415.245213349
6,15,256,80.2043635983,13052.935034,169.80966077
12,15,256,195.848579379,49004.4940241,782.913380533
24,15,256,239.287112647,73859.3710875,553.663465474
3,25,16,27.7027122119,1851.84220797,63.618591747
6,25,16,40.4770537611,3594.97537212,102.471279899
12,25,16,53.0404482991,5564.64881183,164.020190996
24,25,16,61.3398275266,7094.1662842,205.458914638
3,25,32,29.3844191833,1854.38513476,85.1738543155
6,25,32,42.2756641773,3858.12042031,106.22310988
12,25,32,52.8404698399,5801.96687948,141.342102455
24,25,32,60.7870869505,7284.38734814,182.760824832
3,25,64,30.8711551955,2097.80028519,54.7452887001
6,25,64,46.6704219155,4162.41283141,145.522471685
12,25,64,54.7354950332,6026.51357441,156.410547345
24,25,64,63.8654890682,7871.91908864,190.880882224
3,25,128,53.4337893837,5349.270855,158.394147527
6,25,128,66.7866131816,8262.74458539,210.40734757
12,25,128,62.5179022781,7550.21681773,189.206276731
24,25,128,66.8439895102,10238.9082215,145.666582396
3,25,256,90.9643324363,11137.4619225,375.798084046
6,25,256,231.681172134,88278.2721002,907.829719195
12,25,256,307.289726227,141187.641991,1098.09357593
24,25,256,71.0213600654,10766.1592047,155.859687685
3,3,16,28.5692481372,1858.4039852,76.4872211135
6,3,16,40.9504682738,3562.31515297,117.131777079
12,3,16,52.7528920157,5610.91824163,154.931907593
24,3,16,60.6286738662,7040.35774368,192.460058577
3,3,32,27.6811488768,1958.59939631,60.0901652522
6,3,32,42.0115987679,3719.5071379,114.96869858
12,3,32,52.4723761877,5496.99307533,162.672231722
24,3,32,62.4831292513,7192.95125314,211.841919757
3,3,64,30.5051800809,1939.76982717,93.4293890197
6,3,64,39.3526953842,3438.42779115,109.394574657
12,3,64,54.71575024,5598.95684972,180.821293095
24,3,64,61.8737223743,7612.04496059,180.998286958
3,3,128,28.2334301069,1918.27946213,68.4029700409
6,3,128,43.9020073576,4122.07251043,102.37506888
12,3,128,54.6138076826,5643.65545724,177.667529042
24,3,128,61.2731809623,7330.80919889,184.728406539
3,3,256,38.8783466019,3303.2126208,80.1006053481
6,3,256,65.9322648262,9110.882557,176.263638013
12,3,256,56.3054908261,6379.20505822,156.744023747
24,3,256,65.9950167772,9058.44246588,183.625038441
3,5,16,27.2578738363,1807.42542951,66.9949996889
6,5,16,42.211178142,3613.70540124,127.004052029
12,5,16,53.1104052634,5685.76719422,154.748040429
24,5,16,61.0934301641,6929.38061211,206.533657278
3,5,32,27.171307102,1771.32650144,65.0221755069
6,5,32,38.4942497465,3490.58492263,90.290880829
12,5,32,54.5571039163,5944.06533501,161.459489777
24,5,32,62.0771433935,7443.35101263,191.328751341
3,5,64,28.5922871312,1943.52157602,67.1340516443
6,5,64,41.7132809681,3705.12490851,112.504985078
12,5,64,54.2672010273,5864.76474782,159.332918352
24,5,64,62.1092746772,7468.00317138,202.289590642
3,5,128,35.5162080375,2382.86656513,114.081793137
6,5,128,47.394719235,4647.48158932,125.980013704
12,5,128,56.1926259519,5835.62448404,181.327146856
24,5,128,65.1554450038,8130.62726083,194.380123333
3,5,256,37.8008127596,2924.71230231,115.050465453
6,5,256,70.9268587533,9189.30146918,228.900780047
12,5,256,60.3505882524,6697.35331921,191.849103222
24,5,256,64.7323719746,8854.32156841,204.578525479
3,10,16,26.6523832871,1780.40114334,48.7988245787
6,10,16,42.5447076107,3698.37741863,123.185377983
12,10,16,54.1005658474,5515.92285622,182.046603964
24,10,16,60.8918637284,6855.39562916,209.564431645
3,10,32,26.1912098002,1779.14832171,51.0863881049
6,10,32,40.8827617031,3548.25422986,117.636071416
12,10,32,53.0225658036,5744.23741059,147.476359733
24,10,32,61.3100725151,7202.75278923,193.767421536
3,10,64,28.6823380153,1958.69441402,69.3460559903
6,10,64,44.5410835674,3951.32352757,136.387062086
12,10,64,53.0654195234,5665.19699146,157.721644738
24,10,64,63.4687510409,7289.99094508,220.222875007
3,10,128,36.167315809,2572.36953514,108.732018702
6,10,128,47.6222173043,4627.50435271,129.389826541
12,10,128,54.8305914201,6129.16583489,141.979170019
24,10,128,66.7862200177,8955.6840929,195.652299848
3,10,256,110.238917785,20663.2895325,324.836050879
