horizon,timestep,n_hidden,mae,mse,mape
6,15,128,12.5158190652,504.862476725,17.4201455524
12,15,128,13.0774026189,578.775368639,17.7314920605
24,15,128,14.6927681592,568.86602026,20.4287079669
1,15,256,21.7857997807,1318.16036019,33.0141445494
3,15,256,25.1475763962,1665.39361843,38.4265662805
6,15,256,27.2402007716,1532.49342448,49.1687426276
12,15,256,46.2463819142,6559.46569863,70.0409480118
3,168,32,8.40669470492,203.2086492,13.1428868192
1,168,16,5.8402748507,97.6695603114,9.19022393473
3,168,16,10.4984913306,268.10787939,16.9269651362
3,168,32,8.41220203443,237.009596615,12.2110514966
1,3,16,5.22142724722,83.2554816339,8.20060618859
3,3,16,10.0472772817,342.062175677,13.8868649689
6,3,16,12.1324788924,466.039423022,17.0554914218
12,3,16,12.1463613111,503.250643164,17.3831926702
24,3,16,9.99664998882,342.842662658,14.5434631349
1,3,32,4.72875899135,77.1302914881,7.19083706323
3,3,32,10.0985324398,335.342985625,14.70028409
6,3,32,11.8486368343,392.141857716,18.2378755095
12,3,32,10.5104941481,313.564082106,16.0407934597
24,3,32,9.98700325591,289.440082148,15.6213991504
1,3,64,5.10932333837,79.0496013938,8.18479710914
3,3,64,10.3408835676,320.502091356,15.0991003748
6,3,64,12.6163072581,543.226276851,16.8942246029
12,3,64,13.7377459434,522.697303188,19.9155795731
24,3,64,9.69298880375,294.865195686,14.0987620288
1,3,128,6.18313874968,114.573062965,9.69692837886
3,3,128,10.8299148612,353.692665508,15.9053959443
6,3,128,11.9980461866,397.26042347,17.974462211
12,3,128,15.5459421828,864.893757329,19.6660184034
24,3,128,10.2307410011,309.104960008,15.3545407524
1,3,256,6.71813262403,121.657588452,11.5698069727
3,3,256,11.7017492042,458.457603765,16.1401814963
6,3,256,13.5554535185,544.545647988,20.3495362964
12,3,256,17.8917578317,1017.15090609,22.9854597631
24,3,256,12.4112924084,448.909364306,17.7177151761
1,5,16,8.0738831773,124.636398477,15.0795870812
3,5,16,9.41558145371,267.658145781,14.4730508018
6,5,16,11.7492101228,350.922668085,18.5050515712
12,5,16,11.3443517758,361.30126044,17.1045719455
24,5,16,10.1279836128,358.298569282,14.3725221644
1,5,32,5.45310433754,101.402597267,8.0347240808
3,5,32,9.23058112442,278.771864408,13.2928365444
6,5,32,12.1420124676,472.702594299,16.7907310712
12,5,32,12.4259047079,413.860299547,18.9839475703
24,5,32,10.1530908311,330.401944243,14.6349228012
1,5,64,6.46142249467,141.905493056,8.99416388013
3,5,64,9.58593648014,281.237256509,14.1723033519
6,5,64,13.2282226612,570.05687025,17.8575660882
12,5,64,11.5629003528,369.483046494,18.4537047438
24,5,64,10.1891712241,347.327276724,13.8534537513
1,5,128,7.66820961463,188.240341456,11.3707174315
3,5,128,12.5404819595,430.691450601,19.8556576612
6,5,128,12.9958573816,501.543594549,17.8661129082
12,5,128,15.5785342443,856.100893578,19.9221296473
3,168,32,8.41220203443,237.009596615,12.2110514966
1,3,16,5.22142724722,83.2554816339,8.20060618859
3,3,16,10.0472772817,342.062175677,13.8868649689
6,3,16,12.1324788924,466.039423022,17.0554914218
12,3,16,12.1463613111,503.250643164,17.3831926702
24,3,16,9.99664998882,342.842662658,14.5434631349
1,3,32,4.72875899135,77.1302914881,7.19083706323
3,3,32,10.0985324398,335.342985625,14.70028409
6,3,32,11.8486368343,392.141857716,18.2378755095
12,3,32,10.5104941481,313.564082106,16.0407934597
24,3,32,9.98700325591,289.440082148,15.6213991504
1,3,64,5.10932333837,79.0496013938,8.18479710914
3,3,64,10.3408835676,320.502091356,15.0991003748
6,3,64,12.6163072581,543.226276851,16.8942246029
12,3,64,13.7377459434,522.697303188,19.9155795731
24,3,64,9.69298880375,294.865195686,14.0987620288
1,3,128,6.18313874968,114.573062965,9.69692837886
3,3,128,10.8299148612,353.692665508,15.9053959443
6,3,128,11.9980461866,397.26042347,17.974462211
12,3,128,15.5459421828,864.893757329,19.6660184034
24,3,128,10.2307410011,309.104960008,15.3545407524
1,3,256,6.71813262403,121.657588452,11.5698069727
3,3,256,11.7017492042,458.457603765,16.1401814963
6,3,256,13.5554535185,544.545647988,20.3495362964
12,3,256,17.8917578317,1017.15090609,22.9854597631
24,3,256,12.4112924084,448.909364306,17.7177151761
1,5,16,8.0738831773,124.636398477,15.0795870812
3,5,16,9.41558145371,267.658145781,14.4730508018
6,5,16,11.7492101228,350.922668085,18.5050515712
12,5,16,11.3443517758,361.30126044,17.1045719455
24,5,16,10.1279836128,358.298569282,14.3725221644
1,5,32,5.45310433754,101.402597267,8.0347240808
3,5,32,9.23058112442,278.771864408,13.2928365444
6,5,32,12.1420124676,472.702594299,16.7907310712
12,5,32,12.4259047079,413.860299547,18.9839475703
24,5,32,10.1530908311,330.401944243,14.6349228012
1,5,64,6.46142249467,141.905493056,8.99416388013
3,5,64,9.58593648014,281.237256509,14.1723033519
6,5,64,13.2282226612,570.05687025,17.8575660882
12,5,64,11.5629003528,369.483046494,18.4537047438
24,5,64,10.1891712241,347.327276724,13.8534537513
1,5,128,7.66820961463,188.240341456,11.3707174315
3,5,128,12.5404819595,430.691450601,19.8556576612
6,5,128,12.9958573816,501.543594549,17.8661129082
12,5,128,15.5785342443,856.100893578,19.9221296473
horizon,timestep,n_hidden,mae,mse,mape
1,168,16,5.67677236894,120.9180011,8.71057124541
3,168,16,10.9471625291,365.579631557,15.568187798
6,168,16,10.9548025833,497.637699501,15.2375628573
